Date,BTS1,BTS2,BTS3,BTS4,BTS5
11/1/2018 7:07,6.120841,6.19059,3.380258,4.14582,3.993907
11/1/2018 7:07,5.818201,4.766263,3.020824,3.879605,4.954589
11/1/2018 7:07,6.063758,6.03476,2.897477,3.215981,3.800325
11/1/2018 7:07,6.036631,4.600604,2.957748,3.010023,5.211563
11/1/2018 7:07,5.956423,4.758265,3.711918,3.176377,5.088925
11/1/2018 7:07,6.148736,8.286615,4.828291,2.560946,3.256325
11/1/2018 7:07,6.23168,7.628312,3.352411,3.488184,4.653023
11/1/2018 7:08,5.968794,6.026622,4.268681,3.773228,3.597126
11/1/2018 7:08,6.226233,5.748639,4.249297,4.043744,4.998953
11/1/2018 7:08,6.128089,6.487993,3.992483,4.143011,2.882982
11/1/2018 7:08,6.295955,5.430764,2.975212,3.270609,3.408109
11/1/2018 7:08,5.772384,7.30043,3.067632,2.774821,2.944397
11/1/2018 7:08,6.189867,3.669138,3.125285,3.817768,4.550854
11/1/2018 7:08,5.863118,5.347427,3.061477,4.220588,3.395643
11/1/2018 7:08,6.026237,11.964217,3.800216,3.222429,4.058662
11/1/2018 7:08,6.005819,4.344256,3.681346,3.101032,5.437627
11/1/2018 7:08,5.977916,3.846375,3.413209,2.601749,6.726051
11/1/2018 7:08,5.854697,4.864733,3.39383,3.667344,4.616576
11/1/2018 7:08,5.872054,4.778948,3.208639,3.311104,3.361491
11/1/2018 7:09,5.955802,7.566702,3.308241,3.308246,4.939485
11/1/2018 7:09,6.185615,5.170715,4.268629,2.396618,3.679925
11/1/2018 7:09,5.79378,6.567659,3.759799,3.065597,5.083251
11/1/2018 7:09,6.091649,6.919904,2.970542,3.007713,4.600519
11/1/2018 7:09,6.171153,6.595601,3.985187,3.025548,4.072511
11/1/2018 7:09,5.910715,5.458264,4.043827,2.904702,4.018599
11/1/2018 7:09,6.086753,7.127435,4.687916,4.765446,3.910446
11/1/2018 7:09,6.022187,8.922996,3.931471,3.020831,3.581044
11/1/2018 7:09,6.408567,9.43396,2.939714,3.326807,5.727867
11/1/2018 7:09,5.706129,4.489224,3.059487,3.279102,4.255046
11/1/2018 7:09,6.144096,4.682488,4.406853,2.924072,3.879049
11/1/2018 7:09,5.963355,7.173747,3.189285,3.091592,3.981539
11/1/2018 7:10,5.768593,6.013384,3.997151,3.071917,3.629025
11/1/2018 7:10,6.037104,6.068584,2.952992,4.202784,2.987438
11/1/2018 7:10,6.121104,5.823838,3.700237,3.755552,3.193204
11/1/2018 7:10,5.867326,6.174551,3.434485,3.890045,4.796869
11/1/2018 7:10,6.43152,6.976148,3.360973,2.733774,5.314027
11/1/2018 7:10,5.881932,6.758248,3.238366,2.784236,3.173606
11/1/2018 7:10,6.056232,3.956399,2.857494,3.966861,3.547746
11/1/2018 7:10,5.814461,4.764812,2.672606,3.047676,3.341423
11/1/2018 7:10,5.859289,6.080424,2.706861,2.916831,5.745687
11/1/2018 7:10,5.920798,4.419676,3.792159,3.020086,4.301914
11/1/2018 7:10,5.972025,4.936416,3.281684,3.368073,3.106832
11/1/2018 7:10,5.722834,5.259379,3.683369,4.28957,2.649733
11/1/2018 7:11,5.89678,4.74258,3.219034,3.158179,2.964014
11/1/2018 7:11,6.206472,5.471901,3.86633,2.547994,4.754353
11/1/2018 7:11,5.978651,6.476988,3.351497,3.78068,4.321071
11/1/2018 7:11,5.974605,4.801014,3.393078,4.617133,4.377226
11/1/2018 7:11,5.876483,4.388979,3.922126,3.298608,4.816494
11/1/2018 7:11,6.1393,7.434965,2.255356,3.108578,3.223696
11/1/2018 7:11,5.883935,5.350583,2.847985,3.485647,4.0314
11/1/2018 7:11,6.249419,5.211954,4.028692,3.64119,4.512138
11/1/2018 7:11,5.745783,7.701956,3.375557,3.172797,3.331927
11/1/2018 7:11,6.120518,5.950666,3.341593,3.206847,3.77774
11/1/2018 7:11,5.842349,6.710857,4.451264,3.534092,5.261544
11/1/2018 7:11,5.980636,3.936829,3.085292,3.500168,5.090022
11/1/2018 7:12,5.777759,7.889568,2.837367,2.750854,4.089351
11/1/2018 7:12,5.88268,5.596481,2.787271,2.466377,3.470455
11/1/2018 7:12,5.894691,4.605518,2.702578,2.804253,2.91934
11/1/2018 7:12,5.834227,6.257317,3.256042,3.160072,4.23263
11/1/2018 7:12,5.893417,6.970034,3.632226,4.175103,3.253148
11/1/2018 7:12,6.06212,4.62085,2.78457,2.916206,3.625554
11/1/2018 7:12,5.936954,5.29476,3.977349,4.102638,4.06509
11/1/2018 7:12,5.899934,4.484211,3.257294,2.802485,5.100703
11/1/2018 7:12,5.868199,5.95328,3.386655,2.761549,4.03763
